X,Y,Z,F
19.4400,37.1400,29.9400,51.5140
17.4600,30.7800,25.5600,43.6530
21.0600,53.1600,16.1400,59.4140
19.5600,49.2000,26.8800,59.3780
19.4400,37.1400,29.9400,51.5140
17.4600,30.7800,25.5600,43.6530
15.4800,26.7600,17.8800,35.7130
19.5600,49.2000,26.8800,59.3780
19.4400,37.1400,29.9400,51.5140
17.4600,30.7800,25.5600,43.6530
15.4800,26.7600,17.8800,35.7130
14.5800,29.4600,15.1800,36.2060
19.4400,37.1400,29.9400,51.5140
17.4600,30.7800,25.5600,43.6530
15.4800,26.7600,17.8800,35.7130
14.5800,29.4600,15.1800,36.2060
13.9800,35.5800,15.6000,41.2880
17.4600,30.7800,25.5600,43.6530
15.4800,26.7600,17.8800,35.7130
14.5800,29.4600,15.1800,36.2060
13.9800,35.5800,15.6000,41.2880
14.1000,36.4200,17.4600,42.7790
15.4800,26.7600,17.8800,35.7130
14.5800,29.4600,15.1800,36.2060
13.9800,35.5800,15.6000,41.2880
14.1000,36.4200,17.4600,42.7790
13.7400,34.4400,22.2000,43.2170
14.5800,29.4600,15.1800,36.2060
13.9800,35.5800,15.6000,41.2880
14.1000,36.4200,17.4600,42.7790
13.7400,34.4400,22.2000,43.2170
13.3800,32.7000,24.9600,43.2590
13.9800,35.5800,15.6000,41.2880
14.1000,36.4200,17.4600,42.7790
13.7400,34.4400,22.2000,43.2170
13.3800,32.7000,24.9600,43.2590
13.2000,28.5000,27.6600,41.8520
14.1000,36.4200,17.4600,42.7790
13.7400,34.4400,22.2000,43.2170
13.3800,32.7000,24.9600,43.2590
13.2000,28.5000,27.6600,41.8520
12.9600,24.3600,27.3600,38.8580
13.7400,34.4400,22.2000,43.2170
13.3800,32.7000,24.9600,43.2590
13.2000,28.5000,27.6600,41.8520
12.9600,24.3600,27.3600,38.8580
12.0000,20.4000,26.1000,35.2330
13.3800,32.7000,24.9600,43.2590
13.2000,28.5000,27.6600,41.8520
12.9600,24.3600,27.3600,38.8580
12.0000,20.4000,26.1000,35.2330
12.0600,20.5200,25.2000,34.6630
13.2000,28.5000,27.6600,41.8520
12.9600,24.3600,27.3600,38.8580
12.0000,20.4000,26.1000,35.2330
12.0600,20.5200,25.2000,34.6630
12.0600,24.7800,23.9400,36.5050
12.9600,24.3600,27.3600,38.8580
12.0000,20.4000,26.1000,35.2330
12.0600,20.5200,25.2000,34.6630
12.0600,24.7800,23.9400,36.5050
13.1400,31.8600,24.7800,42.4470
12.0000,20.4000,26.1000,35.2330
12.0600,20.5200,25.2000,34.6630
12.0600,24.7800,23.9400,36.5050
13.1400,31.8600,24.7800,42.4470
13.6200,38.1600,28.6800,49.6410
12.0600,20.5200,25.2000,34.6630
12.0600,24.7800,23.9400,36.5050
13.1400,31.8600,24.7800,42.4470
13.6200,38.1600,28.6800,49.6410
14.4000,36.8400,32.3400,51.0920
12.0600,24.7800,23.9400,36.5050
13.1400,31.8600,24.7800,42.4470
13.6200,38.1600,28.6800,49.6410
14.4000,36.8400,32.3400,51.0920
13.9800,28.5600,34.2000,46.6990
13.1400,31.8600,24.7800,42.4470
13.6200,38.1600,28.6800,49.6410
14.4000,36.8400,32.3400,51.0920
13.9800,28.5600,34.2000,46.6990
12.3000,23.8800,31.4400,41.3520
13.6200,38.1600,28.6800,49.6410
14.4000,36.8400,32.3400,51.0920
13.9800,28.5600,34.2000,46.6990
12.3000,23.8800,31.4400,41.3520
9.5400,20.8800,22.8600,32.3970
14.4000,36.8400,32.3400,51.0920
13.9800,28.5600,34.2000,46.6990
12.3000,23.8800,31.4400,41.3520
9.5400,20.8800,22.8600,32.3970
8.5200,20.0400,17.1600,27.7250
13.9800,28.5600,34.2000,46.6990
12.3000,23.8800,31.4400,41.3520
9.5400,20.8800,22.8600,32.3970
8.5200,20.0400,17.1600,27.7250
6.1200,18.9000,11.1000,22.7570
12.3000,23.8800,31.4400,41.3520
9.5400,20.8800,22.8600,32.3970
8.5200,20.0400,17.1600,27.7250
6.1200,18.9000,11.1000,22.7570
5.3400,23.6400,8.7000,25.7500
9.5400,20.8800,22.8600,32.3970
8.5200,20.0400,17.1600,27.7250
6.1200,18.9000,11.1000,22.7570
5.3400,23.6400,8.7000,25.7500
-0.0600,36.8400,8.4600,37.7990
8.5200,20.0400,17.1600,27.7250
6.1200,18.9000,11.1000,22.7570
5.3400,23.6400,8.7000,25.7500
-0.0600,36.8400,8.4600,37.7990
-5.1600,42.7800,9.9600,44.2260
6.1200,18.9000,11.1000,22.7570
5.3400,23.6400,8.7000,25.7500
-0.0600,36.8400,8.4600,37.7990
-5.1600,42.7800,9.9600,44.2260
-10.3800,35.3400,6.4200,37.3880
5.3400,23.6400,8.7000,25.7500
-0.0600,36.8400,8.4600,37.7990
-5.1600,42.7800,9.9600,44.2260
-10.3800,35.3400,6.4200,37.3880
-13.3200,37.0800,10.1400,40.6840
-0.0600,36.8400,8.4600,37.7990
-5.1600,42.7800,9.9600,44.2260
-10.3800,35.3400,6.4200,37.3880
-13.3200,37.0800,10.1400,40.6840
-14.6400,37.9200,10.7400,42.0430
-5.1600,42.7800,9.9600,44.2260
-10.3800,35.3400,6.4200,37.3880
-13.3200,37.0800,10.1400,40.6840
-14.6400,37.9200,10.7400,42.0430
-16.5000,36.3600,9.2400,40.9840
-10.3800,35.3400,6.4200,37.3880
-13.3200,37.0800,10.1400,40.6840
-14.6400,37.9200,10.7400,42.0430
-16.5000,36.3600,9.2400,40.9840
-15.5400,33.2400,8.1600,37.5900
-13.3200,37.0800,10.1400,40.6840
-14.6400,37.9200,10.7400,42.0430
-16.5000,36.3600,9.2400,40.9840
-15.5400,33.2400,8.1600,37.5900
-15.9000,32.5200,7.8000,37.0300
-14.6400,37.9200,10.7400,42.0430
-16.5000,36.3600,9.2400,40.9840
-15.5400,33.2400,8.1600,37.5900
-15.9000,32.5200,7.8000,37.0300
-16.9800,35.8200,7.3800,40.3220
-16.5000,36.3600,9.2400,40.9840
-15.5400,33.2400,8.1600,37.5900
-15.9000,32.5200,7.8000,37.0300
-16.9800,35.8200,7.3800,40.3220
-20.4600,40.4400,4.4400,45.5380
-15.5400,33.2400,8.1600,37.5900
-15.9000,32.5200,7.8000,37.0300
-16.9800,35.8200,7.3800,40.3220
-20.4600,40.4400,4.4400,45.5380
-21.0000,40.7400,0.9000,45.8430
-15.9000,32.5200,7.8000,37.0300
-16.9800,35.8200,7.3800,40.3220
-20.4600,40.4400,4.4400,45.5380
-21.0000,40.7400,0.9000,45.8430
-21.9600,37.9800,-9.7200,44.9360
-16.9800,35.8200,7.3800,40.3220
-20.4600,40.4400,4.4400,45.5380
-21.0000,40.7400,0.9000,45.8430
-21.9600,37.9800,-9.7200,44.9360
-22.6200,39.4200,-17.5200,48.7090
-20.4600,40.4400,4.4400,45.5380
-21.0000,40.7400,0.9000,45.8430
-21.9600,37.9800,-9.7200,44.9360
-22.6200,39.4200,-17.5200,48.7090
-20.6400,46.2600,-20.4600,54.6320
-21.0000,40.7400,0.9000,45.8430
-21.9600,37.9800,-9.7200,44.9360
-22.6200,39.4200,-17.5200,48.7090
-20.6400,46.2600,-20.4600,54.6320
-17.4600,50.1000,-15.4800,55.2670
-21.9600,37.9800,-9.7200,44.9360
-22.6200,39.4200,-17.5200,48.7090
-20.6400,46.2600,-20.4600,54.6320
-17.4600,50.1000,-15.4800,55.2670
-12.6600,47.7000,-6.0000,49.7150
-22.6200,39.4200,-17.5200,48.7090
-20.6400,46.2600,-20.4600,54.6320
-17.4600,50.1000,-15.4800,55.2670
-12.6600,47.7000,-6.0000,49.7150
-6.4200,42.5400,2.5200,43.0950
-20.6400,46.2600,-20.4600,54.6320
-17.4600,50.1000,-15.4800,55.2670
-12.6600,47.7000,-6.0000,49.7150
-6.4200,42.5400,2.5200,43.0950
-0.9000,40.5000,6.9000,41.0930
-17.4600,50.1000,-15.4800,55.2670
-12.6600,47.7000,-6.0000,49.7150
-6.4200,42.5400,2.5200,43.0950
-0.9000,40.5000,6.9000,41.0930
4.5600,39.9000,12.7800,42.1440
-12.6600,47.7000,-6.0000,49.7150
-6.4200,42.5400,2.5200,43.0950
-0.9000,40.5000,6.9000,41.0930
4.5600,39.9000,12.7800,42.1440
6.6600,40.0200,16.2000,43.6850
-6.4200,42.5400,2.5200,43.0950
-0.9000,40.5000,6.9000,41.0930
4.5600,39.9000,12.7800,42.1440
6.6600,40.0200,16.2000,43.6850
4.0800,41.2800,18.6000,45.4600
-0.9000,40.5000,6.9000,41.0930
4.5600,39.9000,12.7800,42.1440
6.6600,40.0200,16.2000,43.6850
4.0800,41.2800,18.6000,45.4600
-0.6600,44.0400,20.7600,48.6920
4.5600,39.9000,12.7800,42.1440
6.6600,40.0200,16.2000,43.6850
4.0800,41.2800,18.6000,45.4600
-0.6600,44.0400,20.7600,48.6920
-6.5400,47.8200,23.8800,53.8500
6.6600,40.0200,16.2000,43.6850
4.0800,41.2800,18.6000,45.4600
